subject,seed,K0,K1
S02,0,65.42,70.28
S02,1,65.42,70.14
S02,2,65.74,70.56
S02,3,65.23,68.7
S02,4,66.16,70.88
S02,5,64.95,70.83
S02,6,65.97,69.81
S02,7,65.42,70.28
S02,8,66.25,70.05
S02,9,65.23,69.31
S03,0,73.98,75.69
S03,1,74.17,73.94
S03,2,74.77,75.09
S03,3,74.72,75.19
S03,4,75.65,75.51
S03,5,75.32,75.69
S03,6,74.81,74.72
S03,7,74.26,74.07
S03,8,74.86,75.6
S03,9,75.32,76.02
S04,0,83.61,84.12
S04,1,84.26,83.89
S04,2,83.94,84.77
S04,3,84.49,84.07
S04,4,83.61,83.84
S04,5,84.54,84.77
S04,6,84.35,82.69
S04,7,83.66,84.91
S04,8,83.52,84.72
S04,9,84.12,84.86
