fold,batch,frac,seed,method,acc,subject
1,2,0.0,0,standard,88.88888888888889,S01
1,2,0.0,0,robust,88.33333333333333,S01
1,2,0.0,1,standard,88.88888888888889,S01
1,2,0.0,1,robust,88.33333333333333,S01
1,2,0.0,2,standard,88.88888888888889,S01
1,2,0.0,2,robust,88.33333333333333,S01
1,2,0.0,3,standard,88.88888888888889,S01
1,2,0.0,3,robust,88.33333333333333,S01
1,2,0.0,4,standard,88.88888888888889,S01
1,2,0.0,4,robust,88.33333333333333,S01
1,2,0.0,5,standard,88.88888888888889,S01
1,2,0.0,5,robust,88.33333333333333,S01
1,2,0.02,0,standard,87.22222222222223,S01
1,2,0.02,0,robust,87.77777777777777,S01
1,2,0.02,1,standard,87.22222222222223,S01
1,2,0.02,1,robust,86.66666666666667,S01
1,2,0.02,2,standard,87.22222222222223,S01
1,2,0.02,2,robust,86.66666666666667,S01
1,2,0.02,3,standard,86.11111111111111,S01
1,2,0.02,3,robust,87.77777777777777,S01
1,2,0.02,4,standard,87.22222222222223,S01
1,2,0.02,4,robust,87.77777777777777,S01
1,2,0.02,5,standard,87.22222222222223,S01
1,2,0.02,5,robust,87.77777777777777,S01
1,2,0.05,0,standard,87.77777777777777,S01
1,2,0.05,0,robust,87.77777777777777,S01
1,2,0.05,1,standard,87.22222222222223,S01
1,2,0.05,1,robust,88.33333333333333,S01
1,2,0.05,2,standard,87.77777777777777,S01
1,2,0.05,2,robust,87.22222222222223,S01
1,2,0.05,3,standard,86.66666666666667,S01
1,2,0.05,3,robust,88.33333333333333,S01
1,2,0.05,4,standard,87.22222222222223,S01
1,2,0.05,4,robust,86.66666666666667,S01
1,2,0.05,5,standard,86.11111111111111,S01
1,2,0.05,5,robust,87.22222222222223,S01
1,2,0.1,0,standard,85.55555555555556,S01
1,2,0.1,0,robust,86.66666666666667,S01
1,2,0.1,1,standard,85.55555555555556,S01
1,2,0.1,1,robust,86.66666666666667,S01
1,2,0.1,2,standard,85.55555555555556,S01
1,2,0.1,2,robust,85.55555555555556,S01
1,2,0.1,3,standard,84.44444444444446,S01
1,2,0.1,3,robust,88.88888888888889,S01
1,2,0.1,4,standard,86.11111111111111,S01
1,2,0.1,4,robust,86.11111111111111,S01
1,2,0.1,5,standard,85.55555555555556,S01
1,2,0.1,5,robust,87.22222222222223,S01
1,2,0.2,0,standard,83.33333333333334,S01
1,2,0.2,0,robust,87.77777777777777,S01
1,2,0.2,1,standard,81.11111111111113,S01
1,2,0.2,1,robust,87.77777777777777,S01
1,2,0.2,2,standard,82.77777777777779,S01
1,2,0.2,2,robust,87.77777777777777,S01
1,2,0.2,3,standard,81.66666666666667,S01
1,2,0.2,3,robust,86.66666666666667,S01
1,2,0.2,4,standard,83.33333333333334,S01
1,2,0.2,4,robust,86.66666666666667,S01
1,2,0.2,5,standard,83.8888888888889,S01
1,2,0.2,5,robust,86.66666666666667,S01
1,3,0.0,0,standard,93.88888888888887,S01
1,3,0.0,0,robust,92.77777777777777,S01
1,3,0.0,1,standard,93.88888888888887,S01
1,3,0.0,1,robust,92.77777777777777,S01
1,3,0.0,2,standard,93.88888888888887,S01
1,3,0.0,2,robust,92.77777777777777,S01
1,3,0.0,3,standard,93.88888888888887,S01
1,3,0.0,3,robust,92.77777777777777,S01
1,3,0.0,4,standard,93.88888888888887,S01
1,3,0.0,4,robust,92.77777777777777,S01
1,3,0.0,5,standard,93.88888888888887,S01
1,3,0.0,5,robust,92.77777777777777,S01
1,3,0.02,0,standard,93.33333333333333,S01
1,3,0.02,0,robust,92.77777777777777,S01
1,3,0.02,1,standard,92.77777777777777,S01
1,3,0.02,1,robust,92.77777777777777,S01
1,3,0.02,2,standard,93.33333333333333,S01
1,3,0.02,2,robust,92.77777777777777,S01
1,3,0.02,3,standard,93.33333333333333,S01
1,3,0.02,3,robust,92.22222222222223,S01
1,3,0.02,4,standard,93.33333333333333,S01
1,3,0.02,4,robust,92.77777777777777,S01
1,3,0.02,5,standard,94.44444444444444,S01
1,3,0.02,5,robust,92.22222222222223,S01
1,3,0.05,0,standard,91.66666666666666,S01
1,3,0.05,0,robust,92.77777777777777,S01
1,3,0.05,1,standard,91.66666666666666,S01
1,3,0.05,1,robust,93.33333333333333,S01
1,3,0.05,2,standard,91.66666666666666,S01
1,3,0.05,2,robust,92.77777777777777,S01
1,3,0.05,3,standard,91.66666666666666,S01
1,3,0.05,3,robust,93.33333333333333,S01
1,3,0.05,4,standard,92.77777777777777,S01
1,3,0.05,4,robust,92.77777777777777,S01
1,3,0.05,5,standard,93.88888888888887,S01
1,3,0.05,5,robust,92.22222222222223,S01
1,3,0.1,0,standard,89.44444444444444,S01
1,3,0.1,0,robust,92.77777777777777,S01
1,3,0.1,1,standard,89.44444444444444,S01
1,3,0.1,1,robust,93.88888888888887,S01
1,3,0.1,2,standard,88.88888888888889,S01
1,3,0.1,2,robust,92.77777777777777,S01
1,3,0.1,3,standard,87.77777777777777,S01
