fold,batch,seed,acc,subject,K
1,2,0,41.66666666666667,S02,10
1,2,1,47.22222222222222,S02,10
1,2,2,42.22222222222222,S02,10
1,2,3,47.777777777777786,S02,10
1,2,4,43.888888888888886,S02,10
1,2,5,48.88888888888889,S02,10
1,2,6,48.33333333333333,S02,10
1,2,7,48.33333333333334,S02,10
1,3,0,44.44444444444444,S02,10
1,3,1,46.666666666666664,S02,10
1,3,2,44.99999999999999,S02,10
1,3,3,41.111111111111114,S02,10
1,3,4,36.66666666666667,S02,10
1,3,5,47.777777777777786,S02,10
1,3,6,46.666666666666664,S02,10
1,3,7,42.77777777777778,S02,10
1,4,0,37.77777777777778,S02,10
1,4,1,31.666666666666664,S02,10
1,4,2,33.888888888888886,S02,10
1,4,3,35.55555555555555,S02,10
1,4,4,29.444444444444446,S02,10
1,4,5,33.888888888888886,S02,10
1,4,6,33.33333333333333,S02,10
1,4,7,30.000000000000004,S02,10
1,5,0,35.0,S02,10
1,5,1,39.44444444444444,S02,10
1,5,2,38.333333333333336,S02,10
1,5,3,39.44444444444444,S02,10
1,5,4,39.44444444444444,S02,10
1,5,5,40.0,S02,10
1,5,6,39.44444444444444,S02,10
1,5,7,35.55555555555556,S02,10
2,2,0,63.888888888888886,S02,10
2,2,1,69.44444444444444,S02,10
2,2,2,67.77777777777779,S02,10
2,2,3,66.1111111111111,S02,10
2,2,4,63.888888888888886,S02,10
2,2,5,67.77777777777777,S02,10
2,2,6,63.888888888888886,S02,10
2,2,7,66.66666666666666,S02,10
2,3,0,68.33333333333333,S02,10
2,3,1,69.44444444444444,S02,10
2,3,2,65.0,S02,10
2,3,3,67.22222222222221,S02,10
2,3,4,67.77777777777779,S02,10
2,3,5,68.88888888888889,S02,10
2,3,6,65.55555555555556,S02,10
2,3,7,66.66666666666666,S02,10
2,4,0,66.66666666666666,S02,10
2,4,1,64.99999999999999,S02,10
2,4,2,74.44444444444443,S02,10
2,4,3,71.11111111111111,S02,10
2,4,4,70.55555555555556,S02,10
2,4,5,69.44444444444444,S02,10
2,4,6,70.55555555555554,S02,10
2,4,7,70.55555555555556,S02,10
2,5,0,52.22222222222223,S02,10
2,5,1,68.88888888888887,S02,10
2,5,2,68.88888888888889,S02,10
2,5,3,68.88888888888889,S02,10
2,5,4,66.11111111111111,S02,10
2,5,5,68.33333333333333,S02,10
2,5,6,50.0,S02,10
2,5,7,70.0,S02,10
3,2,0,72.77777777777777,S02,10
3,2,1,81.66666666666667,S02,10
3,2,2,78.8888888888889,S02,10
3,2,3,81.11111111111111,S02,10
3,2,4,73.88888888888889,S02,10
3,2,5,73.88888888888889,S02,10
3,2,6,77.77777777777779,S02,10
3,2,7,74.44444444444444,S02,10
3,3,0,75.0,S02,10
3,3,1,76.11111111111111,S02,10
3,3,2,76.66666666666666,S02,10
3,3,3,72.22222222222221,S02,10
3,3,4,73.88888888888889,S02,10
3,3,5,76.11111111111111,S02,10
3,3,6,73.88888888888889,S02,10
3,3,7,74.44444444444446,S02,10
3,4,0,62.22222222222222,S02,10
3,4,1,70.55555555555554,S02,10
3,4,2,67.77777777777777,S02,10
3,4,3,64.44444444444444,S02,10
3,4,4,68.33333333333333,S02,10
3,4,5,63.888888888888886,S02,10
3,4,6,67.77777777777777,S02,10
3,4,7,66.11111111111111,S02,10
3,5,0,65.55555555555554,S02,10
3,5,1,71.1111111111111,S02,10
3,5,2,62.22222222222222,S02,10
3,5,3,63.888888888888886,S02,10
3,5,4,61.66666666666667,S02,10
3,5,5,66.11111111111111,S02,10
3,5,6,68.33333333333333,S02,10
3,5,7,67.22222222222223,S02,10
