subject,K,mean,draw_std,worst_draw,best_draw
S01,2,59.88,5.6,51.39,65.97
S01,5,75.42,4.08,66.06,78.47
S01,10,80.75,1.48,78.38,83.06
S01,16,83.05,0.96,81.85,84.35
S01,32,83.96,0.74,83.06,85.23
S01,64,84.93,0.67,84.12,85.79
S01,90,84.96,0.55,84.12,85.97
S01,180,85.19,0.0,85.19,85.19
S02,2,45.64,3.09,41.25,50.32
S02,5,55.87,3.02,49.77,59.4
S02,10,59.39,1.39,57.13,61.44
S02,16,61.52,0.76,60.05,62.41
S02,32,62.49,0.65,61.53,63.43
S02,64,63.4,0.48,62.41,64.12
S02,90,63.46,0.46,62.36,63.75
S02,180,63.66,0.0,63.66,63.66
