subject,session,batch,n_windows,n_over_3mad,max_over_median,p99_over_median
S01,1,1,180,5,22.3,2.6
S01,1,2,180,10,3.2,2.7
S01,1,3,180,10,3.4,2.7
S01,1,4,180,2,3.1,2.7
S01,1,5,180,2,3.0,2.5
S01,2,1,180,7,27.1,8.5
S01,2,2,180,13,37.7,8.6
S01,2,3,180,4,5.5,3.4
S01,2,4,180,10,5.1,3.5
S01,2,5,180,3,3.8,2.6
S01,3,1,180,6,4.0,3.3
S01,3,2,180,14,4.0,2.7
S01,3,3,180,11,5.2,3.3
S01,3,4,180,12,4.2,3.6
S01,3,5,180,14,3.3,3.0
S02,1,1,180,9,5.7,3.8
S02,1,2,180,11,3.1,2.5
S02,1,3,180,10,3.0,2.7
S02,1,4,180,1,2.7,2.0
S02,1,5,180,5,2.7,2.5
S02,2,1,180,11,55.0,2.6
S02,2,2,180,13,4.2,3.1
S02,2,3,180,14,3.4,2.8
S02,2,4,180,11,2.5,2.5
S02,2,5,180,9,3.2,2.6
S02,3,1,180,9,4.6,3.1
S02,3,2,180,7,3.1,2.8
S02,3,3,180,10,4.1,2.5
S02,3,4,180,10,2.7,2.4
S02,3,5,180,4,2.3,2.2
