subject,fold,batch,bn_layer,n_windows,max_loo_var_shift
S01,1,1,0,180,0.7768
S01,1,1,1,180,0.464
S01,1,1,2,180,0.58
S01,1,1,3,180,0.5681
S01,1,1,4,180,0.4155
S01,1,2,0,180,0.0117
S01,1,2,1,180,0.016
S01,1,2,2,180,0.0225
S01,1,2,3,180,0.0316
S01,1,2,4,180,0.0551
S01,1,3,0,180,0.0173
S01,1,3,1,180,0.0212
S01,1,3,2,180,0.0208
S01,1,3,3,180,0.0293
S01,1,3,4,180,0.0477
S01,1,4,0,180,0.0124
S01,1,4,1,180,0.021
S01,1,4,2,180,0.0292
S01,1,4,3,180,0.0338
S01,1,4,4,180,0.0601
S01,1,5,0,180,0.033
S01,1,5,1,180,0.0404
S01,1,5,2,180,0.044
S01,1,5,3,180,0.0698
S01,1,5,4,180,0.0547
S01,2,1,0,180,0.5131
S01,2,1,1,180,0.5684
S01,2,1,2,180,0.5962
S01,2,1,3,180,0.6849
S01,2,1,4,180,0.7599
S01,2,2,0,180,0.7019
S01,2,2,1,180,0.598
S01,2,2,2,180,0.6288
S01,2,2,3,180,0.7747
S01,2,2,4,180,0.8295
S01,2,3,0,180,0.0335
S01,2,3,1,180,0.0445
S01,2,3,2,180,0.0462
S01,2,3,3,180,0.0816
S01,2,3,4,180,0.0862
S01,2,4,0,180,0.0378
S01,2,4,1,180,0.0519
S01,2,4,2,180,0.062
S01,2,4,3,180,0.1572
S01,2,4,4,180,0.1566
S01,2,5,0,180,0.0158
S01,2,5,1,180,0.0283
S01,2,5,2,180,0.0233
S01,2,5,3,180,0.0438
S01,2,5,4,180,0.0527
S01,3,1,0,180,0.0252
S01,3,1,1,180,0.0316
S01,3,1,2,180,0.0288
S01,3,1,3,180,0.0534
S01,3,1,4,180,0.0517
S01,3,2,0,180,0.0158
S01,3,2,1,180,0.0253
S01,3,2,2,180,0.0269
S01,3,2,3,180,0.0432
S01,3,2,4,180,0.042
S01,3,3,0,180,0.032
S01,3,3,1,180,0.0504
S01,3,3,2,180,0.0395
S01,3,3,3,180,0.1314
S01,3,3,4,180,0.0911
S01,3,4,0,180,0.0805
S01,3,4,1,180,0.0996
S01,3,4,2,180,0.0975
S01,3,4,3,180,0.0781
S01,3,4,4,180,0.0667
S01,3,5,0,180,0.0172
S01,3,5,1,180,0.0271
S01,3,5,2,180,0.0344
S01,3,5,3,180,0.0482
S01,3,5,4,180,0.0648
