fold,batch,frac,seed,method,acc,subject
1,2,0.0,0,standard,88.88888888888889,S01
1,2,0.0,0,reject,88.33333333333333,S01
1,2,0.0,0,winsorize,74.44444444444446,S01
1,2,0.0,1,standard,88.88888888888889,S01
1,2,0.0,1,reject,88.33333333333333,S01
1,2,0.0,1,winsorize,74.44444444444446,S01
1,2,0.0,2,standard,88.88888888888889,S01
1,2,0.0,2,reject,88.33333333333333,S01
1,2,0.0,2,winsorize,74.44444444444446,S01
1,2,0.0,3,standard,88.88888888888889,S01
1,2,0.0,3,reject,88.33333333333333,S01
1,2,0.0,3,winsorize,74.44444444444446,S01
1,2,0.05,0,standard,87.77777777777777,S01
1,2,0.05,0,reject,86.66666666666667,S01
1,2,0.05,0,winsorize,78.33333333333334,S01
1,2,0.05,1,standard,86.66666666666667,S01
1,2,0.05,1,reject,87.77777777777777,S01
1,2,0.05,1,winsorize,62.77777777777778,S01
1,2,0.05,2,standard,86.66666666666667,S01
1,2,0.05,2,reject,88.33333333333333,S01
1,2,0.05,2,winsorize,60.555555555555564,S01
1,2,0.05,3,standard,88.33333333333333,S01
1,2,0.05,3,reject,87.22222222222223,S01
1,2,0.05,3,winsorize,76.11111111111111,S01
1,2,0.1,0,standard,85.55555555555556,S01
1,2,0.1,0,reject,86.1111111111111,S01
1,2,0.1,0,winsorize,48.88888888888889,S01
1,2,0.1,1,standard,85.0,S01
1,2,0.1,1,reject,87.22222222222223,S01
1,2,0.1,1,winsorize,33.33333333333333,S01
1,2,0.1,2,standard,85.55555555555556,S01
1,2,0.1,2,reject,87.22222222222223,S01
1,2,0.1,2,winsorize,32.22222222222222,S01
1,2,0.1,3,standard,85.0,S01
1,2,0.1,3,reject,86.1111111111111,S01
1,2,0.1,3,winsorize,36.11111111111111,S01
1,2,0.2,0,standard,82.77777777777779,S01
1,2,0.2,0,reject,86.11111111111111,S01
1,2,0.2,0,winsorize,20.555555555555557,S01
1,2,0.2,1,standard,83.33333333333334,S01
1,2,0.2,1,reject,87.22222222222223,S01
1,2,0.2,1,winsorize,12.222222222222223,S01
1,2,0.2,2,standard,82.77777777777779,S01
1,2,0.2,2,reject,87.22222222222223,S01
1,2,0.2,2,winsorize,11.11111111111111,S01
1,2,0.2,3,standard,82.22222222222223,S01
1,2,0.2,3,reject,86.11111111111111,S01
1,2,0.2,3,winsorize,14.444444444444446,S01
1,3,0.0,0,standard,93.88888888888887,S01
1,3,0.0,0,reject,92.77777777777777,S01
1,3,0.0,0,winsorize,74.44444444444444,S01
1,3,0.0,1,standard,93.88888888888887,S01
1,3,0.0,1,reject,92.77777777777777,S01
1,3,0.0,1,winsorize,74.44444444444444,S01
1,3,0.0,2,standard,93.88888888888887,S01
1,3,0.0,2,reject,92.77777777777777,S01
1,3,0.0,2,winsorize,74.44444444444444,S01
1,3,0.0,3,standard,93.88888888888887,S01
1,3,0.0,3,reject,92.77777777777777,S01
1,3,0.0,3,winsorize,74.44444444444444,S01
1,3,0.05,0,standard,91.66666666666666,S01
1,3,0.05,0,reject,92.77777777777777,S01
1,3,0.05,0,winsorize,78.88888888888889,S01
1,3,0.05,1,standard,93.33333333333333,S01
1,3,0.05,1,reject,92.77777777777777,S01
1,3,0.05,1,winsorize,73.88888888888889,S01
1,3,0.05,2,standard,91.1111111111111,S01
1,3,0.05,2,reject,92.77777777777777,S01
1,3,0.05,2,winsorize,76.11111111111111,S01
1,3,0.05,3,standard,92.22222222222223,S01
1,3,0.05,3,reject,92.77777777777777,S01
1,3,0.05,3,winsorize,78.33333333333333,S01
1,3,0.1,0,standard,89.99999999999999,S01
1,3,0.1,0,reject,92.77777777777777,S01
1,3,0.1,0,winsorize,43.888888888888886,S01
1,3,0.1,1,standard,89.44444444444444,S01
1,3,0.1,1,reject,93.33333333333333,S01
1,3,0.1,1,winsorize,47.77777777777777,S01
1,3,0.1,2,standard,89.99999999999999,S01
1,3,0.1,2,reject,93.33333333333333,S01
1,3,0.1,2,winsorize,35.0,S01
1,3,0.1,3,standard,89.99999999999999,S01
1,3,0.1,3,reject,92.77777777777777,S01
1,3,0.1,3,winsorize,49.44444444444444,S01
1,3,0.2,0,standard,84.44444444444446,S01
1,3,0.2,0,reject,91.66666666666666,S01
1,3,0.2,0,winsorize,11.11111111111111,S01
1,3,0.2,1,standard,85.00000000000001,S01
1,3,0.2,1,reject,93.33333333333333,S01
1,3,0.2,1,winsorize,21.666666666666668,S01
1,3,0.2,2,standard,83.88888888888889,S01
1,3,0.2,2,reject,92.22222222222223,S01
1,3,0.2,2,winsorize,11.11111111111111,S01
1,3,0.2,3,standard,85.00000000000001,S01
1,3,0.2,3,reject,92.77777777777779,S01
1,3,0.2,3,winsorize,11.666666666666666,S01
1,4,0.0,0,standard,92.22222222222223,S01
1,4,0.0,0,reject,92.22222222222223,S01
1,4,0.0,0,winsorize,70.55555555555554,S01
1,4,0.0,1,standard,92.22222222222223,S01
1,4,0.0,1,reject,92.22222222222223,S01
1,4,0.0,1,winsorize,70.55555555555554,S01
1,4,0.0,2,standard,92.22222222222223,S01
1,4,0.0,2,reject,92.22222222222223,S01
1,4,0.0,2,winsorize,70.55555555555554,S01
1,4,0.0,3,standard,92.22222222222223,S01
1,4,0.0,3,reject,92.22222222222223,S01
1,4,0.0,3,winsorize,70.55555555555554,S01
1,4,0.05,0,standard,89.99999999999999,S01
1,4,0.05,0,reject,92.77777777777777,S01
1,4,0.05,0,winsorize,80.55555555555556,S01
1,4,0.05,1,standard,89.99999999999999,S01
1,4,0.05,1,reject,92.22222222222223,S01
1,4,0.05,1,winsorize,81.11111111111111,S01
1,4,0.05,2,standard,90.55555555555556,S01
1,4,0.05,2,reject,92.77777777777777,S01
1,4,0.05,2,winsorize,77.22222222222223,S01
1,4,0.05,3,standard,90.55555555555556,S01
1,4,0.05,3,reject,91.66666666666666,S01
1,4,0.05,3,winsorize,82.22222222222221,S01
1,4,0.1,0,standard,88.88888888888889,S01
1,4,0.1,0,reject,92.77777777777777,S01
1,4,0.1,0,winsorize,51.66666666666666,S01
1,4,0.1,1,standard,88.33333333333333,S01
1,4,0.1,1,reject,92.77777777777777,S01
1,4,0.1,1,winsorize,50.55555555555554,S01
1,4,0.1,2,standard,87.22222222222223,S01
1,4,0.1,2,reject,92.77777777777777,S01
1,4,0.1,2,winsorize,40.0,S01
1,4,0.1,3,standard,88.88888888888889,S01
1,4,0.1,3,reject,91.66666666666666,S01
1,4,0.1,3,winsorize,49.444444444444436,S01
1,4,0.2,0,standard,82.22222222222221,S01
1,4,0.2,0,reject,92.22222222222223,S01
1,4,0.2,0,winsorize,12.222222222222223,S01
1,4,0.2,1,standard,81.66666666666667,S01
1,4,0.2,1,reject,92.77777777777777,S01
1,4,0.2,1,winsorize,11.11111111111111,S01
1,4,0.2,2,standard,82.22222222222223,S01
1,4,0.2,2,reject,92.77777777777777,S01
1,4,0.2,2,winsorize,11.11111111111111,S01
1,4,0.2,3,standard,82.22222222222221,S01
1,4,0.2,3,reject,92.77777777777777,S01
1,4,0.2,3,winsorize,11.666666666666666,S01
1,5,0.0,0,standard,82.22222222222223,S01
1,5,0.0,0,reject,82.22222222222223,S01
1,5,0.0,0,winsorize,53.33333333333334,S01
1,5,0.0,1,standard,82.22222222222223,S01
1,5,0.0,1,reject,82.22222222222223,S01
1,5,0.0,1,winsorize,53.33333333333334,S01
1,5,0.0,2,standard,82.22222222222223,S01
1,5,0.0,2,reject,82.22222222222223,S01
1,5,0.0,2,winsorize,53.33333333333334,S01
1,5,0.0,3,standard,82.22222222222223,S01
1,5,0.0,3,reject,82.22222222222223,S01
1,5,0.0,3,winsorize,53.33333333333334,S01
1,5,0.05,0,standard,82.77777777777779,S01
1,5,0.05,0,reject,82.77777777777779,S01
1,5,0.05,0,winsorize,68.33333333333333,S01
1,5,0.05,1,standard,82.22222222222223,S01
1,5,0.05,1,reject,82.22222222222221,S01
1,5,0.05,1,winsorize,68.33333333333333,S01
1,5,0.05,2,standard,82.77777777777779,S01
1,5,0.05,2,reject,82.77777777777779,S01
1,5,0.05,2,winsorize,65.55555555555556,S01
1,5,0.05,3,standard,82.22222222222223,S01
1,5,0.05,3,reject,82.22222222222221,S01
1,5,0.05,3,winsorize,70.55555555555554,S01
1,5,0.1,0,standard,81.11111111111113,S01
1,5,0.1,0,reject,82.22222222222221,S01
1,5,0.1,0,winsorize,46.1111111111111,S01
1,5,0.1,1,standard,81.11111111111113,S01
1,5,0.1,1,reject,82.22222222222221,S01
1,5,0.1,1,winsorize,33.33333333333333,S01
1,5,0.1,2,standard,81.11111111111113,S01
1,5,0.1,2,reject,82.22222222222221,S01
1,5,0.1,2,winsorize,41.111111111111114,S01
1,5,0.1,3,standard,81.66666666666667,S01
1,5,0.1,3,reject,82.77777777777779,S01
1,5,0.1,3,winsorize,38.88888888888889,S01
1,5,0.2,0,standard,76.66666666666667,S01
1,5,0.2,0,reject,83.88888888888889,S01
1,5,0.2,0,winsorize,11.11111111111111,S01
1,5,0.2,1,standard,76.11111111111111,S01
1,5,0.2,1,reject,82.22222222222221,S01
1,5,0.2,1,winsorize,12.777777777777777,S01
1,5,0.2,2,standard,77.77777777777779,S01
1,5,0.2,2,reject,81.66666666666667,S01
1,5,0.2,2,winsorize,12.77777777777778,S01
1,5,0.2,3,standard,76.66666666666667,S01
