setting,n_accum,lr,eff_lr,mean,std
s2,4,0.0003,0.0012,86.67,1.67
s2,1,0.0003,0.0003,86.11,1.67
s2,8,0.0003,0.0024,85.93,1.28
s2,1,0.001,0.001,84.07,0.64
s2,16,0.0003,0.0048,83.89,2.42
s2,8,0.001,0.008,82.59,2.85
s2,4,0.001,0.004,82.41,2.1
s2,1,0.003,0.003,80.19,3.16
s2,32,0.0003,0.0096,69.07,27.59
s2,4,0.003,0.012,54.81,38.53
s2,16,0.001,0.016,33.15,38.17
s2,32,0.001,0.032,13.33,3.85
s2,8,0.003,0.024,11.11,0.0
s2,4,0.01,0.04,11.11,0.0
s2,32,0.003,0.096,11.11,0.0
s2,8,0.01,0.08,11.11,0.0
s2,1,0.01,0.01,11.11,0.0
s2,16,0.01,0.16,11.11,0.0
s2,16,0.003,0.048,11.11,0.0
s2,32,0.01,0.32,11.11,0.0
