config,b2_mean,b3_mean,b4_mean,b5_mean,b2_std,b3_std,b4_std,b5_std,mean_ft_2_5
P0,85.93,88.52,90.56,87.59,3.35,5.16,2.22,2.1,88.15
E1,86.67,87.78,89.63,87.22,1.47,3.85,3.21,2.42,87.82
E2,86.3,85.93,88.89,88.33,3.39,6.09,3.09,1.47,87.36
E3,57.96,64.81,58.15,55.37,4.32,7.66,12.87,11.88,59.07
E3b,80.74,86.48,86.48,83.33,13.63,5.04,4.72,6.76,84.26
E3c,84.44,85.19,87.96,81.3,6.74,7.14,5.56,3.16,84.72
E4,82.96,87.22,89.44,85.0,10.26,4.84,4.81,2.94,86.16
E5,85.56,85.19,88.52,80.74,2.94,7.08,6.63,4.72,85.0
E6,85.37,90.56,91.48,87.96,6.72,4.55,2.63,1.79,88.84
E7,87.96,88.52,86.3,85.0,1.95,4.63,3.26,3.33,86.94
ODE,87.59,87.96,87.22,82.04,3.61,5.4,5.47,0.64,86.2
