n_accum,lr,eff_lr,ft_frozen_mean,ft_frozen_std,ft_recollect_mean,ft_recollect_std
8,0.0003,0.0024,86.3,2.25,87.22,2.42
4,0.0003,0.0012,86.11,3.38,86.11,2.94
1,0.0003,0.0003,86.11,2.94,86.11,3.47
4,0.001,0.004,85.0,0.56,85.74,2.57
1,0.001,0.001,85.74,0.85,85.56,2.42
16,0.0003,0.0048,84.07,4.49,84.26,3.78
1,0.003,0.003,84.07,2.63,81.11,0.96
32,0.0003,0.0096,75.93,6.63,76.3,7.17
8,0.001,0.008,81.85,1.7,74.07,10.89
4,0.003,0.012,53.52,37.03,51.85,31.39
16,0.001,0.016,28.7,13.84,37.59,13.95
8,0.003,0.024,29.07,31.11,25.37,24.22
32,0.001,0.032,18.15,11.24,19.26,7.25
4,0.01,0.04,11.11,0.0,13.89,4.81
1,0.01,0.01,11.11,0.0,11.11,0.0
32,0.003,0.096,11.11,0.0,11.11,0.0
8,0.01,0.08,11.11,0.0,11.11,0.0
16,0.01,0.16,11.11,0.0,11.11,0.0
16,0.003,0.048,11.11,0.0,11.11,0.0
32,0.01,0.32,11.11,0.0,11.11,0.0
