n_accum,lr,eff_lr,livebn,adabn_frozen,adabn_recol
8,0.0003,0.0024,80.0,86.3,87.22
4,0.0003,0.0012,79.63,86.11,86.11
1,0.0003,0.0003,79.44,86.11,86.11
16,0.0003,0.0048,79.26,84.07,84.26
32,0.0003,0.0096,77.41,75.93,76.3
4,0.001,0.004,77.41,85.0,85.74
8,0.001,0.008,77.04,81.85,74.07
1,0.003,0.003,76.85,84.07,81.11
1,0.001,0.001,76.67,85.74,85.56
4,0.003,0.012,76.11,53.52,51.85
32,0.001,0.032,75.74,18.15,19.26
16,0.001,0.016,75.56,28.7,37.59
16,0.003,0.048,72.78,11.11,11.11
8,0.003,0.024,69.44,29.07,25.37
32,0.003,0.096,65.19,11.11,11.11
4,0.01,0.04,61.3,11.11,13.89
8,0.01,0.08,59.63,11.11,11.11
1,0.01,0.01,59.63,11.11,11.11
16,0.01,0.16,58.33,11.11,11.11
32,0.01,0.32,48.7,11.11,11.11
